epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2294,1.70954,2.11632,1.24783,0.6244,0.33999,0.38152,0.17829,1.83487,2.08215,1.34667,0.000551962,0.000551962,0.000551962
2,120.197,1.81525,1.68091,1.28185,0.43971,0.48,0.37226,0.16245,1.82237,1.80914,1.33309,0.0010857,0.0010857,0.0010857
3,179.334,1.82499,1.653,1.28253,0.67023,0.36359,0.49362,0.27526,1.88061,1.81614,1.28568,0.00159743,0.00159743,0.00159743
4,239.846,1.80057,1.61501,1.28023,0.52506,0.45539,0.42613,0.1844,1.79756,1.81051,1.27009,0.00156798,0.00156798,0.00156798
5,296.146,1.75373,1.54219,1.25126,0.74131,0.628,0.70628,0.39749,1.64868,1.35529,1.21586,0.00153497,0.00153497,0.00153497
6,355.548,1.7252,1.47478,1.24044,0.68889,0.57394,0.61079,0.33864,1.76227,1.53526,1.24093,0.00150197,0.00150197,0.00150197
7,413.59,1.68356,1.40367,1.20817,0.66924,0.46119,0.59446,0.34678,1.64745,1.43846,1.21334,0.00146896,0.00146896,0.00146896
8,470.811,1.64168,1.36427,1.19877,0.78739,0.62005,0.71248,0.40272,1.64002,1.348,1.1828,0.00143595,0.00143595,0.00143595
9,530.426,1.61897,1.32882,1.18078,0.78549,0.62577,0.72247,0.43584,1.56737,1.26191,1.14371,0.00140295,0.00140295,0.00140295
10,589.929,1.58543,1.28732,1.166,0.67072,0.65767,0.7084,0.41789,1.56643,1.27373,1.16418,0.00136994,0.00136994,0.00136994
11,646.311,1.56565,1.23999,1.16588,0.61974,0.55894,0.5712,0.35889,1.62043,1.47449,1.20511,0.00133693,0.00133693,0.00133693
12,703.827,1.54896,1.25695,1.15349,0.55027,0.50593,0.5228,0.29208,1.77087,1.65773,1.29451,0.00130393,0.00130393,0.00130393
13,761.458,1.52785,1.21404,1.14457,0.78136,0.62268,0.73644,0.44171,1.54591,1.20045,1.15169,0.00127092,0.00127092,0.00127092
14,820.757,1.53365,1.2104,1.1481,0.68743,0.72924,0.73654,0.433,1.52764,1.19109,1.1315,0.00123791,0.00123791,0.00123791
15,878.299,1.4982,1.16182,1.13396,0.75398,0.63628,0.71146,0.44387,1.52924,1.17243,1.13757,0.00120491,0.00120491,0.00120491
16,937.771,1.50897,1.15096,1.12954,0.71765,0.70173,0.75662,0.45932,1.49208,1.13545,1.11627,0.0011719,0.0011719,0.0011719
17,996.956,1.49094,1.13475,1.11832,0.76131,0.70003,0.75908,0.45252,1.53615,1.16001,1.12126,0.00113889,0.00113889,0.00113889
18,1052.87,1.48218,1.14245,1.11265,0.75758,0.65822,0.75586,0.43867,1.52104,1.141,1.13719,0.00110589,0.00110589,0.00110589
19,1109.69,1.46739,1.08581,1.11025,0.79651,0.70523,0.77191,0.47352,1.48785,1.10769,1.10914,0.00107288,0.00107288,0.00107288
20,1168.87,1.4552,1.10199,1.10502,0.77771,0.68238,0.767,0.49271,1.48921,1.0779,1.10273,0.00103987,0.00103987,0.00103987
21,1228.32,1.44855,1.09896,1.09963,0.76106,0.68284,0.7517,0.46513,1.45786,1.09338,1.09341,0.00100687,0.00100687,0.00100687
22,1285.21,1.42131,1.05871,1.08908,0.79728,0.7116,0.78858,0.49895,1.43996,1.03153,1.09436,0.000973861,0.000973861,0.000973861
23,1343.11,1.42835,1.06057,1.09437,0.7383,0.71785,0.78816,0.46799,1.45669,1.06461,1.10747,0.000940855,0.000940855,0.000940855
24,1399.61,1.40602,1.0329,1.08329,0.83698,0.66211,0.79385,0.48261,1.44246,1.03708,1.09503,0.000907848,0.000907848,0.000907848
